Speaker,Rep,Syll,Phon,Filename,Filepath
F1,2,DHaaf,Daf,DHaaf1F2.wav,1F/DHaaf1F2.wav
F1,1,DHaag,Dag,DHaag1F1.wav,1F/DHaag1F1.wav
F1,2,DHaag,Dag,DHaag1F2.wav,1F/DHaag1F2.wav
F1,1,DHaaj,Daj,DHaaj1F1.wav,1F/DHaaj1F1.wav
F1,2,DHaaj,Daj,DHaaj1F2.wav,1F/DHaaj1F2.wav
F1,1,DHaak,Dak,DHaak1F1.wav,1F/DHaak1F1.wav
F1,2,DHaak,Dak,DHaak1F2.wav,1F/DHaak1F2.wav
F1,1,DHaal,Dal,DHaal1F1.wav,1F/DHaal1F1.wav
F1,2,DHaal,Dal,DHaal1F2.wav,1F/DHaal1F2.wav
F1,1,DHaam,Dam,DHaam1F1.wav,1F/DHaam1F1.wav
F1,2,DHaam,Dam,DHaam1F2.wav,1F/DHaam1F2.wav
F1,1,DHaan,Dan,DHaan1F1.wav,1F/DHaan1F1.wav
F1,2,DHaan,Dan,DHaan1F2.wav,1F/DHaan1F2.wav
F1,1,DHaang,DaN,DHaang1F1.wav,1F/DHaang1F1.wav
F1,2,DHaang,DaN,DHaang1F2.wav,1F/DHaang1F2.wav
F1,1,DHaap,Dap,DHaap1F1.wav,1F/DHaap1F1.wav
F1,2,DHaap,Dap,DHaap1F2.wav,1F/DHaap1F2.wav
F1,1,DHaar,Dar,DHaar1F1.wav,1F/DHaar1F1.wav
F1,2,DHaar,Dar,DHaar1F2.wav,1F/DHaar1F2.wav
F1,1,DHaas,Das,DHaas1F1.wav,1F/DHaas1F1.wav
F1,2,DHaas,Das,DHaas1F2.wav,1F/DHaas1F2.wav
F1,1,DHaash,DaS,DHaash1F1.wav,1F/DHaash1F1.wav
F1,2,DHaash,DaS,DHaash1F2.wav,1F/DHaash1F2.wav
F1,1,DHaat,Dat,DHaat1F1.wav,1F/DHaat1F1.wav
F1,2,DHaat,Dat,DHaat1F2.wav,1F/DHaat1F2.wav
F1,1,DHaath,DaT,DHaath1F1.wav,1F/DHaath1F1.wav
F1,2,DHaath,DaT,DHaath1F2.wav,1F/DHaath1F2.wav
F1,1,DHaav,Dav,DHaav1F1.wav,1F/DHaav1F1.wav
F1,2,DHaav,Dav,DHaav1F2.wav,1F/DHaav1F2.wav
F1,1,DHaaz,Daz,DHaaz1F1.wav,1F/DHaaz1F1.wav
F1,2,DHaaz,Daz,DHaaz1F2.wav,1F/DHaaz1F2.wav
F1,1,DHeeb,Dib,DHeeb1F1.wav,1F/DHeeb1F1.wav
F1,2,DHeeb,Dib,DHeeb1F2.wav,1F/DHeeb1F2.wav
F1,1,DHeech,Dic,DHeech1F1.wav,1F/DHeech1F1.wav
F1,2,DHeech,Dic,DHeech1F2.wav,1F/DHeech1F2.wav
F1,1,DHeed,Did,DHeed1F1.wav,1F/DHeed1F1.wav
F1,2,DHeed,Did,DHeed1F2.wav,1F/DHeed1F2.wav
F1,1,DHeeDH,DiD,DHeeDH1F1.wav,1F/DHeeDH1F1.wav
F1,2,DHeeDH,DiD,DHeeDH1F2.wav,1F/DHeeDH1F2.wav
F1,1,DHeef,Dif,DHeef1F1.wav,1F/DHeef1F1.wav
F1,2,DHeef,Dif,DHeef1F2.wav,1F/DHeef1F2.wav
F1,1,DHeeg,Dig,DHeeg1F1.wav,1F/DHeeg1F1.wav
F1,2,DHeeg,Dig,DHeeg1F2.wav,1F/DHeeg1F2.wav
F1,1,DHeej,Dij,DHeej1F1.wav,1F/DHeej1F1.wav
F1,2,DHeej,Dij,DHeej1F2.wav,1F/DHeej1F2.wav
F1,1,DHeek,Dik,DHeek1F1.wav,1F/DHeek1F1.wav
F1,2,DHeek,Dik,DHeek1F2.wav,1F/DHeek1F2.wav
F1,1,DHeel,Dil,DHeel1F1.wav,1F/DHeel1F1.wav
F1,2,DHeel,Dil,DHeel1F2.wav,1F/DHeel1F2.wav
F1,1,DHeem,Dim,DHeem1F1.wav,1F/DHeem1F1.wav
F1,2,DHeem,Dim,DHeem1F2.wav,1F/DHeem1F2.wav
F1,1,DHeen,Din,DHeen1F1.wav,1F/DHeen1F1.wav
F1,2,DHeen,Din,DHeen1F2.wav,1F/DHeen1F2.wav
F1,1,DHeeng,DiN,DHeeng1F1.wav,1F/DHeeng1F1.wav
F1,2,DHeeng,DiN,DHeeng1F2.wav,1F/DHeeng1F2.wav
F1,1,DHeep,Dip,DHeep1F1.wav,1F/DHeep1F1.wav
F1,2,DHeep,Dip,DHeep1F2.wav,1F/DHeep1F2.wav
F1,1,DHeer,Dir,DHeer1F1.wav,1F/DHeer1F1.wav
F1,2,DHeer,Dir,DHeer1F2.wav,1F/DHeer1F2.wav
F1,1,DHees,Dis,DHees1F1.wav,1F/DHees1F1.wav
F1,2,DHees,Dis,DHees1F2.wav,1F/DHees1F2.wav
F1,1,DHeesh,DiS,DHeesh1F1.wav,1F/DHeesh1F1.wav
F1,2,DHeesh,DiS,DHeesh1F2.wav,1F/DHeesh1F2.wav
F1,1,DHeet,Dit,DHeet1F1.wav,1F/DHeet1F1.wav
F1,2,DHeet,Dit,DHeet1F2.wav,1F/DHeet1F2.wav
F1,1,DHeeth,DiT,DHeeth1F1.wav,1F/DHeeth1F1.wav
F1,2,DHeeth,DiT,DHeeth1F2.wav,1F/DHeeth1F2.wav
F1,1,DHeev,Div,DHeev1F1.wav,1F/DHeev1F1.wav
F1,2,DHeev,Div,DHeev1F2.wav,1F/DHeev1F2.wav
F1,1,DHeez,Diz,DHeez1F1.wav,1F/DHeez1F1.wav
